E_COLI,HG_TOT,TURBIEDAD,SST,COLOR_VER,DUR_TOT,N_TOT,COLI_FEC,N_NH3,N_NO2,N_NO3
0.0,0.7287066246056781,0.3076923076923077,0.06428571428571428,1.0,0.6402908419412543,0.5225870003750325,0.10156599552572707,0.36464682681964866,0.12193351720133547,0.4389537275962632
0.011123470522803115,0.7287066246056781,1.0,0.4142857142857143,0.1887905604719764,0.9268370938888568,0.39580004549574993,1.0,0.09429903191107926,0.031934968790825954,0.03177190603253622
0.034482758620689655,0.7917981072555206,0.6153846153846154,0.15,0.04129793510324484,1.0,0.15459059631539074,0.6921700223713646,1.0,0.0,0.07280573301182654
0.011123470522803115,0.2870662460567824,0.8846153846153846,0.05714285714285714,0.336283185840708,0.4471694846788619,0.5753921275957683,0.0,0.2613840086052349,0.3193496879082596,0.49103512337767014
0.10511679644048944,0.27129337539432175,0.07692307692307693,0.09285714285714286,0.04129793510324484,0.6757458595418085,0.2928976762328426,0.03445190156599553,0.12661168877733955,0.03138336478443896,0.03655167049386015
0.19911012235817574,0.0,0.5384615384615384,0.24285714285714285,0.24778761061946902,0.0,0.4015853834314862,0.23624161073825503,0.0,0.31949484685730883,0.25539611734321754
0.13274008157211717,0.9621451104100948,0.24615384615384617,0.11428571428571428,0.07079646017699115,0.70304114490161,0.2602766770068168,0.08053691275167785,0.9735532448906419,0.02903178980984178,0.0
0.06637004078605858,0.09779179810725554,0.15384615384615385,0.0,0.1887905604719764,0.40469732817819826,0.5083152705186857,0.24519015659955257,0.010326281821441356,0.04363478008419219,0.17997391420999176
0.0,0.0914826498422713,0.18461538461538463,0.16428571428571428,0.12979351032448377,0.7482832246523169,0.35361605822363,0.19910514541387025,0.702352097525995,0.02339962258673247,0.005887903250352563
0.02224694104560623,0.08517350157728708,0.15384615384615385,0.10357142857142858,0.0,0.8091061226845171,0.34160613659791517,0.12706935123042506,0.19431337396916465,0.12983016402961242,0.15601083563584958
0.12347052280311457,1.0,0.6923076923076923,1.0,0.07079646017699115,0.7737318945120893,0.7351525712954606,0.5713646532438479,0.0858228755826461,0.36150384671214986,0.16738306768439576
1.0,0.12933753943217668,0.03076923076923077,0.07267857142857144,0.07079646017699115,0.40510127531882967,1.0,1.0,0.0860523485120115,1.0,1.0
0.034482758620689655,0.12933753943217668,0.0,0.03428571428571429,0.04129793510324484,0.6939811876045934,0.0,0.008501118568232663,0.007888131946934412,0.005864421541588037,0.006122382261662794
