SAAM,OD_mg/L,COLI_TOT,pH_CAMPO,TEMP_AGUA,NI_TOT,E_COLI,HG_TOT,CR_TOT,AS_TOT,TURBIEDAD,SST,COLOR_VER,DUR_TOT,N_TOT,COLI_FEC,N_NH3,N_NO2,N_NO3
,6.9633,10462.0,7.85,20.3333,,301.0,,,0.0132,6.9,5.5,12.5,242.364,0.7268,301.0,0.1646,0.0179,0.4332
,7.12,6131.0,8.04,20.5,,473.0,0.0006,,,3.5,5.7692,15.0,235.524,0.6637,1236.0,0.2486,0.0203,0.3545
,8.12,3448.0,8.04,19.5,,30.0,1e-04,,0.0394,5.5,,10.0,320.8248,0.8312,400.0,0.5126,0.0346,0.1317
,5.0,5794.0,8.02,25.3,0.0077,201.0,1e-04,0.0066,,4.5,31.5,20.0,180.306,0.8621,2481.0,0.129,0.032,0.6342
,11.22,7270.0,8.29,24.5,,20.0,1e-04,,0.0194,4.0,7.33,15.0,297.422,0.7445,120.0,0.0702,0.0243,0.1503
,7.42,,7.99,20.2,0.0088,12997.0,0.0018,0.0112,,112.5,460.0,312.5,175.829,2.0169,,0.0844,0.0373,0.7085
0.882,7.63,,7.94,18.1,,9804.0,,,,39.0,67.5,40.0,163.956,1.616,19863.0,0.008,0.037,0.881
0.063,11.2,,8.2,21.2,,24196.0,0.00018,,0.0181,2.0,9.3,7.5,324.9,0.699,24196.0,0.279,0.016,0.118
0.028,10.0,2613.0,8.0,23.5,,171.0,0.00132,,0.0192,2.8,9.8,10.0,198.0,0.521,437.0,0.098,0.004,0.08
0.011,8.0,,8.2,26.0,,1039.0,0.00044,,0.0289,6.5,12.7,10.0,243.6,0.8,24196.0,0.111,0.005,0.188
,4.5,19863.0,7.8,24.0,,489.0,0.00031,,0.0163,2.5,23.1,7.5,236.5,0.913,3448.0,0.242,0.029,0.383
0.03,5.7,17329.0,8.0,23.8,0.0033,1723.0,0.00014,0.0044,,92.5,98.0,75.0,164.0,1.943,5794.0,0.097,0.039,1.256
0.051,6.5,,8.3,23.1,,4611.0,0.00031,,,36.0,64.0,40.0,128.3,1.258,12033.0,0.178,0.03,0.758
0.019,6.04,3654.0,8.3,23.0,0.0082,459.0,0.001485,0.0046,,10.6,31.0,13.0,175.57,0.950613,1576.0,0.208313,0.0412,0.7011
0.017,6.57,2909.0,8.1,25.3,,20.0,0.000101,,,8.2,15.38,8.0,232.18,1.139561,880.0,0.31901,0.023611,0.070415
,6.42,2613.0,7.8,25.8,,10.0,9.6e-05,0.0049,0.0139,5.1,15.0,10.0,244.19,0.618837,1246.0,0.097999,0.002875,0.037583
,5.4,19863.0,8.1,25.9,0.0076,496.0,,0.0144,,52.0,44.0,75.0,163.97,1.042271,5475.0,0.139792,0.03748,0.588304
0.022,6.86,,7.7,22.1,0.0197,5475.0,0.00023,0.0347,,90.0,183.33,100.0,154.71,1.853759,9208.0,0.096771,0.030934,1.166088
0.127,6.19,,8.1,22.9,,6488.0,0.000267,0.0126,,48.0,103.64,50.0,149.76,1.98369,15531.0,0.158423,0.027965,1.408629
0.024,14.84,1014.0,8.4,22.3,,31.0,0.000102,0.0058,0.0197,7.3,9.0,10.0,276.58,0.922659,309.0,0.032482,0.016863,0.049949
0.031,4.24,12033.0,7.9,25.3,,187.0,,,,21.0,20.0,18.0,208.64,1.301812,3873.0,0.422454,0.058535,0.4269
0.063,6.94,12033.0,8.3,26.5,,41.0,7.5e-05,,,5.4,9.5,15.0,280.24,0.180522,3609.0,0.165468,0.001835,0.013219
0.026,6.55,,8.1,23.3,0.0714,36540.0,0.002547,0.1005,,,,325.0,225.29,,104620.0,0.205571,0.020928,0.817734
0.063,5.21,7701.0,7.9,23.6,,52.0,0.000101,,,16.0,18.0,13.0,197.41,1.368339,2224.0,0.11278,0.04548,0.824911
,7.54,,7.6,21.6,,11199.0,0.000135,,,18.0,23.0,30.0,130.37,0.959882,17329.0,0.060794,0.015819,0.487273
0.068,7.53,2359.0,7.9,19.9,,,,,0.0294,5.7,10.0,18.0,282.91,0.950412,905.0,0.31818,0.02533,0.30098
0.01,7.62,,7.7,30.1,,20.0,6.8e-05,,0.0472,7.0,18.0,25.0,325.71,0.753732,3076.0,0.13456,0.00295,0.02402
0.015,6.32,,8.2,25.7,,15531.0,0.000178,,0.0533,5.5,10.0,25.0,326.98,0.815892,,0.21253,0.00866,0.05598
0.058,6.59,155310.0,8.2,23.2,0.01177,11300.0,0.000256,0.01405,,150.0,198.0,150.0,132.47,4.525243,27550.0,0.931213,0.188686,1.251739
0.057,6.62,,7.9,25.9,,4884.0,0.000368,0.0034,,34.0,70.0,50.0,175.75,2.152425,19863.0,0.151516,0.055305,0.946546
0.023,7.35,155310.0,8.0,21.7,0.0069,21420.0,0.000745,0.0099,,90.0,155.0,100.0,122.94,1.782493,27550.0,0.37377,0.0175,0.71381
0.11,7.69,1036.0,8.1,20.7,,74.0,,,0.0135,4.1,,10.0,220.655,0.86312,538.0,0.15177,0.026406,0.487336
0.01,4.5,,8.2,21.6,,,3.6e-05,0.0067,0.0165,2.3,,25.0,253.604,1.55422,,0.194069,0.037418,0.827015
0.029,4.6,24196.0,8.2,25.8,,96.0,,,0.0435,5.9,,13.0,283.272,0.72289,1408.0,0.040874,0.004143,0.008323
0.048,4.36,,8.3,27.3,,10.0,,,0.0485,7.3,16.0,30.0,319.76,0.89098,4611.0,,0.002905,0.032173
0.12,7.08,19863.0,8.0,22.0,,2382.0,8.9e-05,0.0032,,20.0,44.0,30.0,125.879,1.43938,2755.0,0.161588,0.03646,0.975699
0.054,7.54,1956.0,8.0,18.6,0.0047,41.0,,0.0034,0.0208,4.8,,8.0,231.883,0.93426,605.0,0.121305,0.02123,0.415529
