,FECHA,E_COLI
28601,2012-12-05,301.0
28602,2013-01-08,473.0
28603,2013-03-15,30.0
28604,2013-06-28,201.0
28605,2013-08-23,20.0
28606,2013-09-17,12997.0
28607,2013-10-26,9804.0
28608,2014-02-26,24196.0
28609,2014-03-25,171.0
28610,2014-05-13,1039.0
28611,2014-06-25,489.0
28612,2014-08-12,1723.0
28613,2014-09-28,4611.0
28614,2015-03-21,459.0
28615,2015-05-15,20.0
28616,2015-06-16,10.0
28617,2015-07-27,496.0
28618,2015-09-13,5475.0
28619,2015-10-29,6488.0
28620,2016-03-05,31.0
28621,2016-04-28,187.0
28622,2016-06-04,41.0
28623,2016-07-24,36540.0
28624,2016-09-18,52.0
28625,2016-11-07,11199.0
28626,2017-03-14,5609.5
28627,2017-04-23,20.0
28628,2017-05-26,15531.0
28629,2017-07-03,11300.0
28630,2017-08-15,4884.0
28631,2017-10-09,21420.0
28632,2018-02-11,74.0
28633,2018-03-15,85.0
28634,2018-04-24,96.0
28635,2018-06-07,10.0
28636,2018-10-25,2382.0
28637,2018-12-19,41.0
120616,2019-02-15,20.0
