,FECHA,N_NH3
28601,2012-12-05,0.1646
28602,2013-01-08,0.2486
28603,2013-03-15,0.5126
28604,2013-06-28,0.129
28605,2013-08-23,0.0702
28606,2013-09-17,0.0844
28607,2013-10-26,0.008
28608,2014-02-26,0.279
28609,2014-03-25,0.098
28610,2014-05-13,0.111
28611,2014-06-25,0.242
28612,2014-08-12,0.097
28613,2014-09-28,0.178
28614,2015-03-21,0.208313
28615,2015-05-15,0.31901
28616,2015-06-16,0.097999
28617,2015-07-27,0.139792
28618,2015-09-13,0.096771
28619,2015-10-29,0.158423
28620,2016-03-05,0.032482
28621,2016-04-28,0.422454
28622,2016-06-04,0.165468
28623,2016-07-24,0.205571
28624,2016-09-18,0.11278
28625,2016-11-07,0.060794
28626,2017-03-14,0.31818
28627,2017-04-23,0.13456
28628,2017-05-26,0.21253
28629,2017-07-03,0.931213
28630,2017-08-15,0.151516
28631,2017-10-09,0.37377
28632,2018-02-11,0.15177
28633,2018-03-15,0.194069
28634,2018-04-24,0.040874
28635,2018-06-07,0.101231
28636,2018-10-25,0.161588
28637,2018-12-19,0.121305
120616,2019-02-15,0.026774
