,FECHA,OD_mg/L
28601,2012-12-05,6.9633
28602,2013-01-08,7.12
28603,2013-03-15,8.12
28604,2013-06-28,5.0
28605,2013-08-23,11.22
28606,2013-09-17,7.42
28607,2013-10-26,7.63
28608,2014-02-26,11.2
28609,2014-03-25,10.0
28610,2014-05-13,8.0
28611,2014-06-25,4.5
28612,2014-08-12,5.7
28613,2014-09-28,6.5
28614,2015-03-21,6.04
28615,2015-05-15,6.57
28616,2015-06-16,6.42
28617,2015-07-27,5.4
28618,2015-09-13,6.86
28619,2015-10-29,6.19
28620,2016-03-05,14.84
28621,2016-04-28,4.24
28622,2016-06-04,6.94
28623,2016-07-24,6.55
28624,2016-09-18,5.21
28625,2016-11-07,7.54
28626,2017-03-14,7.53
28627,2017-04-23,7.62
28628,2017-05-26,6.32
28629,2017-07-03,6.59
28630,2017-08-15,6.62
28631,2017-10-09,7.35
28632,2018-02-11,7.69
28633,2018-03-15,4.5
28634,2018-04-24,4.6
28635,2018-06-07,4.36
28636,2018-10-25,7.08
28637,2018-12-19,7.54
120616,2019-02-15,8.98
