,FECHA,pH_CAMPO
28601,2012-12-05,7.85
28602,2013-01-08,8.04
28603,2013-03-15,8.04
28604,2013-06-28,8.02
28605,2013-08-23,8.29
28606,2013-09-17,7.99
28607,2013-10-26,7.94
28608,2014-02-26,8.2
28609,2014-03-25,8.0
28610,2014-05-13,8.2
28611,2014-06-25,7.8
28612,2014-08-12,8.0
28613,2014-09-28,8.3
28614,2015-03-21,8.3
28615,2015-05-15,8.1
28616,2015-06-16,7.8
28617,2015-07-27,8.1
28618,2015-09-13,7.7
28619,2015-10-29,8.1
28620,2016-03-05,8.4
28621,2016-04-28,7.9
28622,2016-06-04,8.3
28623,2016-07-24,8.1
28624,2016-09-18,7.9
28625,2016-11-07,7.6
28626,2017-03-14,7.9
28627,2017-04-23,7.7
28628,2017-05-26,8.2
28629,2017-07-03,8.2
28630,2017-08-15,7.9
28631,2017-10-09,8.0
28632,2018-02-11,8.1
28633,2018-03-15,8.2
28634,2018-04-24,8.2
28635,2018-06-07,8.3
28636,2018-10-25,8.0
28637,2018-12-19,8.0
120616,2019-02-15,8.5
