,FECHA,SST
28601,2012-12-05,5.5
28602,2013-01-08,5.7692
28603,2013-03-15,18.6346
28604,2013-06-28,31.5
28605,2013-08-23,7.33
28606,2013-09-17,460.0
28607,2013-10-26,67.5
28608,2014-02-26,9.3
28609,2014-03-25,9.8
28610,2014-05-13,12.7
28611,2014-06-25,23.1
28612,2014-08-12,98.0
28613,2014-09-28,64.0
28614,2015-03-21,31.0
28615,2015-05-15,15.38
28616,2015-06-16,15.0
28617,2015-07-27,44.0
28618,2015-09-13,183.33
28619,2015-10-29,103.64
28620,2016-03-05,9.0
28621,2016-04-28,20.0
28622,2016-06-04,9.5
28623,2016-07-24,13.75
28624,2016-09-18,18.0
28625,2016-11-07,23.0
28626,2017-03-14,10.0
28627,2017-04-23,18.0
28628,2017-05-26,10.0
28629,2017-07-03,198.0
28630,2017-08-15,70.0
28631,2017-10-09,155.0
28632,2018-02-11,120.25
28633,2018-03-15,85.5
28634,2018-04-24,50.75
28635,2018-06-07,16.0
28636,2018-10-25,44.0
28637,2018-12-19,44.357143
120616,2019-02-15,24.0
